GEOGRAPHY_CODE,total
E05000497,40
E05004533,20
E05004534,20
E05001069,95
E05008145,35
E05008146,25
E05008895,35
E05008896,40
E05008897,75
E05008898,80
E05008899,45
E05008900,110
E05008901,10
E05001688,80
E05001689,40
E05001690,185
E05003740,15
E05003741,15
E05005151,20
E05005254,50
E05001238,235
E05001734,50
E05001371,55
E05004232,25
E05004432,20
E05004433,25
E05006572,0
E05002598,5
E05003324,30
E05003325,30
E05005167,0
E05001846,0
E05008335,10
E05000783,305
E05006409,5
E05001020,65
E05001977,65
E05001978,35
E05001262,110
E05005844,0
W05000052,0
W05000556,30
W05000557,45
E05002336,55
E05000417,105
E05005948,10
E05006630,5
E05004070,20
E05006921,5
E05000149,265
E05005333,15
E05008709,5
E05007648,10
E05003462,20
E05007632,40
E05007633,40
E05001580,40
E05003619,0
E05000822,45
E05007848,0
E05004147,10
E05003742,0
E05002134,5
E05005132,5
E05007694,35
E05007931,75
E05008722,25
E05007900,5
E05003743,0
E05005384,0
E05004587,0
E05007315,5
E05004535,25
E05000439,140
E05001239,165
E05003326,30
E05008564,35
E05008615,40
E05000957,110
E05004341,5
E05008752,10
E05008336,25
E05000108,65
E05000653,30
E05000109,60
E05000578,200
E05006209,5
E05000383,15
E05006276,10
E05001847,15
E05000087,60
W05000239,10
W05000289,0
E05007080,10
E05005891,0
E05007583,20
E05001486,20
E05005271,40
E05000306,130
E05000823,15
E05000691,105
E05004850,10
E05001884,100
E05008827,45
E05004434,40
E05007440,0
E05004098,20
E05001043,60
E05008860,40
E05008147,30
E05001505,80
E05003209,0
E05000761,275
E05003237,0
E05005456,5
E05005457,5
E05005458,5
E05005459,5
W05000184,10
W05000185,15
E05003117,10
E05001735,30
E05006210,0
E05004635,0
E05008148,10
E05007046,10
E05001308,120
E05007495,15
E05007496,50
E05000231,95
E05004678,10
E05000268,145
E05001736,195
E05005760,15
E05000326,60
E05005152,70
E05001646,115
E05007544,70
E05000534,125
E05000043,55
E05002420,60
E05001465,140
E05006821,10
E05000632,30
E05008322,0
W05000903,30
E05006822,20
E05000846,75
W05000115,10
W05000904,10
W05000558,35
W05000559,5
W05000560,40
W05000053,0
W05000598,5
W05000599,25
W05000186,5
W05000008,10
W05000939,35
W05000661,10
W05000009,0
W05000897,50
W05000769,25
W05000241,35
E05008526,0
E05005722,0
E05004148,15
E05004149,10
E05007562,5
E05002599,15
E05002600,15
E05004588,10
E05004944,115
E05003640,5
E05003595,35
E05002292,15
W05000187,20
W05000188,40
W05000189,15
W05000190,20
E05000824,120
E05004435,45
E05007545,10
E05008204,35
E05008205,20
E05003463,5
E05002078,95
E05008206,30
W05000290,5
E05003703,5
E05008337,10
E05005224,55
E05007479,15
E05008861,25
E05002273,20
E05002374,30
E05001829,285
E05001830,105
E05004045,5
E05008616,10
E05007231,25
E05000367,100
E05004722,15
E05005892,0
E05003391,0
E05005483,25
E05005482,30
E05008338,10
E05007081,5
E05006631,5
E05007671,15
E05007672,10
E05007673,0
E05007674,15
E05007675,10
E05007676,15
E05003162,0
E05005723,15
E05005561,5
E05004436,10
E05002293,15
E05001848,5
E05005107,10
E05005761,5
E05001417,455
E05001466,115
E05000692,145
E05008149,10
E05003238,5
E05001044,330
E05005803,0
E05002658,0
E05008902,20
E05002659,20
E05002660,15
E05008903,10
E05004191,5
E05004192,20
E05007966,35
E05000044,120
E05006944,10
E05007289,5
E05003641,0
E05001737,20
E05006823,5
E05004233,10
W05000461,25
E05005361,10
E05005362,10
E05004500,40
E05008723,90
E05008724,55
E05004023,15
E05007410,10
E05006922,40
W05000947,0
E05003744,0
E05007945,0
E05006425,0
E05005991,25
E05003239,0
E05003660,10
E05001738,70
E05001601,25
E05002717,10
E05007604,0
E05004679,35
E05004179,60
E05000194,45
E05001324,115
E05001325,280
E05003596,45
E05004752,5
E05004753,25
E05004754,15
E05004755,15
W05000854,100
E05006763,0
E05006966,40
W05000633,75
E05004589,15
E05003987,10
E05005762,5
E05003392,30
W05000291,0
E05008339,10
E05004872,25
E05005949,5
E05007441,15
E05001091,275
W05000462,15
E05008031,0
E05001979,90
E05005385,5
E05003511,0
E05008784,10
E05005484,5
E05000762,80
E05005272,15
W05000054,20
W05000010,5
W05000634,80
W05000561,5
E05004764,10
W05000601,95
W05000855,140
W05000191,10
W05000116,0
W05000837,30
W05000292,0
W05000791,5
W05000192,5
E05005108,10
E05004381,25
E05005786,10
E05005787,15
E05005697,10
E05002294,35
E05002796,0
E05007497,25
E05005386,5
E05001372,45
W05000792,5
E05000368,110
E05008207,25
E05004838,35
E05008340,20
E05008341,35
E05008342,30
E05008343,5
E05008344,10
E05003347,5
E05001418,75
E05006426,25
E05004382,10
E05003745,5
E05004383,20
E05000535,150
E05006345,15
E05008208,50
E05008209,25
E05008210,30
E05008211,35
E05000935,55
E05000130,80
E05008212,25
E05006824,0
E05007480,110
E05002399,120
E05000384,10
E05004313,10
E05001117,65
W05000948,0
E05000403,40
E05002135,5
E05002136,20
E05002137,20
E05000590,75
E05000477,135
E05000478,150
E05008904,10
E05006903,55
E05006904,75
E05006905,70
E05006906,20
E05000456,25
E05000369,75
E05000286,35
E05003512,5
E05000131,95
W05000856,80
W05000793,10
E05004084,40
E05004085,25
E05004086,20
E05004087,40
E05004088,15
E05004089,50
E05005133,5
W05000369,0
E05007316,5
E05004945,5
W05000117,0
W05000400,5
E05006547,20
E05008918,0
E05005611,90
E05008482,20
E05005387,5
E05006427,45
E05006379,25
E05007232,30
E05007233,40
E05006428,35
W05000463,40
W05000464,25
W05000465,30
E05008213,35
E05008214,40
E05005225,15
E05004821,10
E05008862,40
E05000558,35
E05000559,30
E05003348,0
E05006632,25
E05006633,10
E05006634,10
E05003240,0
W05000905,30
E05006825,10
E05001092,60
E05006317,75
E05003932,95
E05007069,35
E05004946,30
E05003724,0
E05008828,145
E05002704,5
E05006470,50
E05004928,15
E05005226,60
E05003163,75
E05006055,50
E05001789,185
W05000794,0
E05005109,25
E05007695,35
E05001849,5
E05004122,70
E05005612,70
E05008753,95
E05003513,20
W05000517,240
E05001154,140
E05001286,60
E05005517,30
E05007120,15
E05002354,5
E05001240,250
E05008150,40
E05001447,115
W05000635,70
E05000741,105
E05000440,95
E05000591,100
W05000857,110
E05007883,95
E05000536,120
E05007825,25
E05005388,5
E05006277,5
E05005878,85
E05008754,110
E05006471,5
E05000327,30
E05007167,0
E05006531,0
E05002321,35
E05007047,5
E05006346,5
E05006318,5
E05000232,70
E05004090,20
W05000244,30
W05000602,10
W05000919,30
W05000603,5
W05000011,5
E05007048,5
W05000466,10
E05003968,55
E05004964,60
E05006319,35
E05001554,120
E05005541,30
E05007871,50
E05000976,120
E05002337,60
E05004384,10
E05002637,10
E05005209,90
E05002172,115
E05001850,20
E05005927,30
E05003146,75
E05005187,35
E05004839,90
E05002149,75
E05001045,260
E05000889,75
E05002115,95
E05007696,75
E05001003,310
E05005085,105
E05002421,50
E05000742,180
E05002274,10
E05002442,80
E05003933,100
E05003538,50
E05008483,5
E05005788,160
W05000370,10
E05008215,10
E05007082,5
E05000720,80
E05000721,110
E05000722,130
E05001773,80
E05006635,0
E05006945,30
E05000498,100
E05000029,80
E05002231,95
E05002232,25
E05003642,0
E05003946,5
E05007391,0
E05008484,15
E05002638,0
E05002639,10
E05004385,10
E05006573,5
E05004965,10
E05005059,55
E05002214,50
E05002196,65
E05002338,85
E05007649,5
E05004501,10
E05004502,10
E05007650,30
E05001419,205
E05003393,0
E05000592,90
E05005562,25
E05003394,10
E05006826,20
E05006827,5
E05006828,10
E05006829,20
E05006830,5
E05002049,10
E05007826,55
E05004873,10
E05006636,10
E05001263,110
E05002443,240
E05000693,170
E05000216,105
E05004636,0
E05004291,5
E05004292,5
E05007317,5
E05003746,15
E05003747,0
E05005334,15
E05001790,90
E05003563,0
E05004905,25
E05007015,0
E05002375,5
E05000328,55
E05000195,95
E05007849,20
E05006946,10
E05006947,35
E05005296,5
E05000233,125
E05002249,190
E05003349,0
E05008556,0
E05000537,90
E05004702,30
E05000785,45
E05000786,35
E05007049,20
E05007050,5
E05007051,15
E05000784,35
E05000560,20
E05007052,5
E05007168,5
E05008905,10
E05002601,5
E05007053,10
E05005915,15
E05004314,0
E05000694,260
E05008617,5
E05001774,45
E05004807,20
E05004099,25
E05004100,5
E05001287,260
E05000110,25
E05004654,5
E05002705,20
E05005698,15
E05000865,70
E05007350,10
E05007352,15
E05007351,10
E05004765,15
E05002640,5
E05004680,20
E05004681,30
E05003748,0
E05006990,15
E05006991,5
E05000404,45
E05000405,40
E05008664,35
E05008665,20
E05007967,40
E05007968,35
E05007969,110
E05006967,40
E05004906,20
E05008151,10
E05002718,5
E05008032,45
E05001940,0
E05001941,5
E05006764,5
E05001220,80
E05007605,60
E05007606,25
E05007607,35
E05007608,15
E05003749,15
E05007414,0
E05003988,0
E05003750,0
E05002295,0
E05004150,5
E05004151,5
E05000045,95
E05000890,50
E05002679,15
E05006574,0
E05007970,100
E05006410,10
E05006411,40
E05004637,5
E05004438,20
E05000593,40
E05006575,15
E05008345,20
E05008346,25
E05008347,30
E05008348,30
E05008349,40
E05008350,20
E05008351,10
E05008352,20
E05005297,0
E05006637,25
E05004152,0
E05002050,10
E05007330,25
E05008152,5
W05000246,15
W05000247,10
E05001118,160
E05000111,35
E05005168,10
E05000348,30
E05000349,25
E05003539,0
E05007377,10
E05002641,0
E05006576,10
E05008033,45
E05001070,95
E05005169,55
E05005170,40
E05005171,20
E05005172,60
E05005173,65
E05004822,0
E05004823,10
E05000695,70
E05000696,110
E05001071,90
E05004123,30
E05000069,40
E05003118,15
E05004536,30
E05007290,5
E05004342,5
E05003597,15
E05003540,10
E05000671,55
E05005210,80
E05000936,120
E05000891,35
E05002322,65
E05001885,5
E05004549,5
E05004550,5
E05007016,5
E05000499,25
E05008810,40
E05007872,80
E05004180,20
E05000634,105
E05008153,25
W05000662,30
E05004343,5
E05008565,0
E05004412,25
E05007563,15
E05006548,40
E05000633,60
W05000293,0
E05004315,0
E05007054,5
E05006923,5
E05002100,5
W05000193,0
W05000663,20
W05000949,5
W05000371,0
W05000467,0
W05000562,15
E05004344,20
E05004345,35
E05002339,35
E05002340,55
E05004316,25
E05004317,15
E05004318,10
E05004319,10
E05004320,30
E05001347,445
E05000697,30
E05001420,330
E05007884,20
E05001487,80
E05007291,10
E05004467,10
E05008755,20
E05000418,60
E05000419,75
E05007169,10
E05003514,0
E05001647,185
E05000763,45
E05004787,10
E05007546,30
E05002738,20
E05006241,5
E05000958,25
E05000959,100
E05007517,0
E05004265,0
E05003420,45
E05003421,30
E05002296,30
E05005789,100
E05007137,10
E05007251,10
E05000500,50
E05006968,20
E05001348,155
E05005298,0
E05005211,40
E05005175,55
E05005176,10
E05005174,15
E05006380,5
E05001140,100
E05001139,20
E05003184,25
E05003185,25
E05001393,135
E05008154,5
E05008566,10
E05008567,5
E05008568,30
E05004416,10
E05000501,95
E05005804,0
E05008155,20
E05000370,100
E05002010,10
E05002011,15
E05002012,0
E05002013,5
E05002014,0
E05002015,10
E05002016,5
E05000171,105
E05005389,20
E05002355,5
E05002356,35
E05002357,15
E05005623,5
E05000825,165
E05005086,20
E05001980,25
E05005188,0
E05003119,15
E05001648,55
E05001747,60
E05001981,15
E05001831,95
E05001832,125
E05003350,0
E05002101,30
E05005087,25
E05005088,205
E05003620,5
E05005950,5
E05006472,25
E05000234,65
E05005153,10
E05000112,55
E05003621,0
E05005255,60
E05003308,40
E05003309,20
E05000892,160
E05008156,0
E05001942,5
W05000518,45
W05000402,5
W05000055,5
E05003464,5
E05003422,5
E05005154,35
E05004386,0
E05005518,45
E05005542,15
E05005256,20
E05001506,95
E05007253,5
E05007252,10
E05001555,25
E05001556,55
W05000519,115
E05000196,40
E05002102,45
E05004766,0
E05003286,20
E05006992,15
E05006993,10
W05000770,15
W05000563,35
W05000564,15
W05000565,10
W05000906,30
E05004046,5
E05003622,0
E05007564,15
E05006831,10
E05008216,15
E05006278,55
E05002297,5
E05004655,10
E05004966,55
E05002602,30
E05000420,175
E05000217,70
E05000723,255
E05004346,20
E05004347,40
E05006765,15
E05003673,0
E05003674,0
E05001791,90
E05002706,30
E05007462,5
E05007463,10
E05000046,145
E05007274,0
E05001886,20
E05004293,20
E05008600,30
E05008034,105
E05001557,10
E05000538,65
E05005273,10
E05000253,85
E05002275,5
E05000457,60
E05006473,15
E05003969,5
E05001119,100
E05002341,20
E05008559,80
E05004788,25
E05005763,5
E05006948,5
E05000385,40
W05000118,30
E05003465,15
E05000070,65
E05001943,30
E05003541,10
E05002797,0
E05006862,15
E05007017,35
E05002298,5
E05002079,80
E05006492,15
E05004656,5
E05008618,50
E05008619,30
E05002017,10
E05005724,5
E05005563,15
E05001004,120
E05003241,0
W05000194,40
W05000195,55
W05000196,25
W05000197,25
E05003934,10
E05007971,75
E05008217,15
W05000119,10
E05007932,5
E05008569,15
E05000406,35
E05000407,25
E05000113,40
E05004124,5
E05002444,50
E05000047,55
E05005177,35
E05001155,130
E05008157,5
E05007677,0
E05003395,10
E05008035,5
E05003675,10
E05003676,5
E05003677,5
W05000605,80
W05000636,25
E05003564,10
E05002376,5
E05001623,65
E05005846,5
E05002233,10
W05000056,0
E05008353,20
E05008354,15
