"GEOGRAPHY_CODE","GEOGRAPHY_NAME","Female","Female","Male","Male","Total","Total"
"95OO10","Coalisland North",5,0,5,5,10,5
"95OO11","Coalisland South",5,0,5,0,10,5
"95OO12","Coalisland West and Newmills",0,0,10,5,10,5
"95OO13","Coolhill",5,0,0,0,5,0
"95OO14","Donaghmore (Dungannon LGD)",0,0,0,5,5,5
"95OO15","Drumglass",5,5,5,5,10,5
"95OO16","Fivemiletown",5,0,0,0,5,0
"95OO17","Killyman",0,0,0,0,5,5
"95OO18","Killymeal",5,5,5,5,10,5
"95OO19","Moy",0,0,0,0,5,5
"95OO20","Moygashel",0,5,5,0,5,5
"95OO21","Mullaghmore",5,5,5,0,10,5
"95OO22","Washing Bay",0,0,0,5,0,10
"95PP01","Ballinamallard",5,0,5,5,10,5
"95PP02","Belcoo and Garrison",5,0,5,0,10,0
"95PP03","Belleek and Boa",5,0,10,0,10,5
"95PP04","Boho Cleenish and Letterbreen",5,5,5,0,5,5
"95PP05","Brookeborough",5,0,5,0,10,0
"95PP06","Castlecoole",5,5,10,5,15,10
"95PP07","Derrygonnelly",5,0,0,5,5,0
"95PP08","Derrylin",5,0,5,0,5,5
"95PP09","Devenish",5,0,10,5,15,5
"95PP10","Donagh",5,0,0,0,5,0
"95PP11","Erne",5,0,5,5,10,5
"95PP12","Florence Court and Kinawley",0,0,0,5,5,5
"95PP13","Irvinestown",5,5,5,5,5,10
"95PP14","Kesh Ederney and Lack",5,5,5,0,10,5
"95PP15","Lisbellaw",5,5,5,0,10,5
"95PP16","Lisnarrick",5,0,5,0,10,5
"95PP17","Lisnaskea",5,0,5,5,10,5
"95PP18","Maguiresbridge",5,0,5,5,10,5
"95PP19","Newtownbutler",5,0,5,5,10,5
"95PP20","Portora",5,5,5,10,10,10
"95PP21","Rosslea",5,0,0,5,10,0
"95PP22","Rossorry",5,5,0,5,10,5
"95PP23","Tempo",0,0,5,5,10,5
"95QQ01","Antiville",5,0,10,5,15,5
"95QQ02","Ballycarry",0,0,5,0,5,0
"95QQ03","Ballyloran",5,0,10,5,15,5
"95QQ04","Blackcave",5,0,10,5,10,5
"95QQ05","Carncastle",0,0,5,0,0,5
"95QQ06","Carnlough",5,5,0,0,5,5
"95QQ07","Central (Larne LGD)",5,0,5,10,5,15
"95QQ08","Craigy Hill",0,5,5,5,5,10
"95QQ09","Gardenmore",0,0,0,5,5,0
"95QQ10","Glenarm",0,0,5,0,5,0
"95QQ11","Glynn",5,0,5,0,5,5
"95QQ12","Harbour (Larne LGD)",0,0,5,5,5,5
"95QQ13","Island Magee",5,0,0,5,5,0
"95QQ14","Kilwaughter",5,5,10,5,15,10
"95QQ15","Town Parks",5,0,5,0,5,5
"95RR01","Aghanloo",10,5,5,10,20,10
"95RR02","Ballykelly",5,5,5,5,10,10
"95RR03","Coolessan",5,10,5,10,15,10
"95RR04","Dungiven",5,5,10,0,10,5
"95RR05","Enagh (Limavady LGD)",10,5,5,5,15,10
"95RR06","Feeny",10,0,0,5,10,0
"95RR07","Forest",0,0,0,5,5,5
"95RR08","Glack",5,0,0,0,5,0
"95RR09","Gresteel",5,0,10,15,15,15
"95RR10","Greystone (Limavady LGD)",15,5,10,10,30,15
"95RR11","Magilligan",0,0,0,5,5,5
"95RR12","Rathbrady",5,0,5,0,10,0
"95RR13","Roeside",0,10,5,10,5,15
"95RR14","The Highlands",0,0,5,5,5,5
"95RR15","Upper Glenshane",0,0,0,5,5,5
"95SS01","Ballinderry",5,0,0,5,10,5
"95SS02","Ballymacash",5,0,5,0,5,5
"95SS03","Ballymacbrennan",0,0,0,0,5,5
"95SS04","Ballymacoss",5,10,15,10,15,20
"95SS05","Blaris",0,0,5,5,5,5
"95SS06","Collin Glen",15,15,25,15,40,30
"95SS07","Derryaghy",15,10,20,10,35,20
"95SS08","Dromara",0,0,5,0,5,0
"95SS09","Drumbo",0,0,0,0,0,0
"95SS10","Dunmurry",5,5,5,10,10,15
"95SS11","Glenavy",5,5,0,5,5,10
"95SS12","Harmony Hill",0,0,0,0,0,5
"95SS13","Hilden",5,0,5,15,20,5
"95SS14","Hillhall",5,5,5,5,10,5
"95SS15","Hillsborough",0,0,5,0,5,5
"95SS16","Kilwee",5,0,10,5,20,5
"95SS17","Knockmore",0,5,5,10,10,5
"95SS18","Lagan Valley",5,5,5,5,10,10
"95SS19","Lambeg",5,5,10,5,10,10
"95SS20","Lisnagarvy",0,0,5,0,0,5
"95SS21","Maghaberry",5,0,5,5,10,5
"95SS22","Magheralave",0,0,0,0,5,0
"95SS23","Maze",0,0,0,0,5,5
"95SS24","Moira",5,5,5,5,10,10
"95SS25","Old Warren",0,5,10,5,5,10
"95SS26","Poleglass",5,5,5,10,15,15
"95SS27","Seymour Hill",0,0,5,5,5,5
"95SS28","Tonagh",10,5,5,5,15,5
"95SS29","Twinbrook",5,5,10,5,15,10
"95SS30","Wallace Park",0,0,0,5,5,0
"95TT01","Ballymaguigan",0,0,5,5,5,5
"95TT02","Bellaghy",0,0,5,5,10,5
"95TT03","Castledawson",5,0,5,5,5,5
"95TT04","Draperstown",5,0,0,0,5,5
"95TT05","Glebe (Magherafelt LGD)",5,5,5,5,10,10
"95TT06","Gulladuff",5,0,5,0,10,5
"95TT07","Knockcloghrim",5,0,5,0,5,0
"95TT08","Lecumpher",0,0,0,5,5,5
"95TT09","Lower Glenshane",5,0,5,0,10,0
"95TT10","Maghera",5,5,5,0,5,5
"95TT11","Swatragh",5,0,5,0,10,0
"95TT12","Tobermore",0,0,0,5,10,0
"95TT13","Town Parks East",5,5,15,5,20,15
"95TT14","Town Parks West",5,0,10,0,15,0
"95TT15","Upperlands",5,0,5,0,10,0
"95TT16","Valley (Magherafelt LGD)",5,5,5,0,5,5
"95UU01","Armoy",0,0,5,0,5,0
"95UU02","Ballylough",0,0,0,0,0,0
"95UU03","Bonamargy and Rathlin",0,0,0,0,0,0
"95UU04","Bushmills",5,0,5,5,10,5
"95UU05","Carnmoon",0,0,0,0,0,0
"95UU06","Dalriada",5,0,0,5,5,5
"95UU07","Dunseverick",0,0,0,0,0,0
"95UU08","Glenaan",0,0,0,0,5,0
"95UU09","Glenariff",0,0,0,0,0,0
"95UU10","Glendun",0,0,0,0,0,0
"95UU11","Glenshesk",0,0,0,0,0,0
"95UU12","Glentaisie",5,0,5,5,10,5
"95UU13","Kinbane",0,0,0,0,0,0
"95UU14","Knocklayd",0,5,5,5,5,10
"95UU15","Moss-Side and Moyarget",5,0,5,0,5,0
"95VV01","Annalong",5,0,5,5,10,5
"95VV02","Ballybot",5,5,5,5,10,10
"95VV03","Bessbrook",5,5,5,5,10,10
"95VV04","Binnian",0,0,5,0,5,0
"95VV05","Burren and Kilbroney",5,0,0,0,5,0
"95VV06","Camlough",5,5,5,0,10,5
"95VV07","Clonallan",5,0,10,5,15,5
"95VV08","Creggan",5,5,5,0,10,5
"95VV09","Crossmaglen",5,5,5,0,5,10
"95VV10","Daisy Hill",5,5,10,5,15,10
"95VV11","Derryleckagh",5,0,5,0,5,5
"95VV12","Derrymore",5,0,5,10,10,5
"95VV13","Donaghmore (Newry and Mourne LGD)",5,0,0,0,5,5
"95VV14","Drumalane",5,0,10,0,15,5
"95VV15","Drumgullion",15,5,10,5,25,10
"95VV16","Fathom",5,5,5,5,10,5
"95VV17","Forkhill",5,5,5,5,15,10
"95VV18","Kilkeel Central",0,10,10,5,5,25
"95VV19","Kilkeel South",10,5,5,10,15,10
"95VV20","Lisnacree",5,0,0,0,5,0
"95VV21","Mayobridge",5,5,0,5,10,5
"95VV22","Newtownhamilton",5,5,10,0,15,5
"95VV23","Rostrevor",0,0,5,5,5,5
"95VV24","Seaview",5,0,5,0,10,5
"95VV25","Silver Bridge",5,0,5,5,10,5
"95VV26","Spelga",5,0,0,5,5,5
"95VV27","St Mary's",0,0,5,0,5,0
"95VV28","St Patrick's",5,5,5,5,10,10
"95VV29","Tullyhappy",0,0,0,0,0,0
"95VV30","Windsor Hill",0,5,5,0,5,5
"95WW01","Abbey",0,0,5,5,5,5
"95WW02","Ballyclare North",5,5,10,5,15,10
"95WW03","Ballyclare South",5,0,0,5,10,5
"95WW04","Ballyduff",5,0,0,5,10,0
"95WW05","Ballyhenry",0,5,0,5,5,5
"95WW06","Ballynure",5,0,5,0,10,0
"95WW07","Ballyrobert",0,0,0,5,5,5
"95WW08","Burnthill",0,0,5,0,0,5
"95WW09","Carnmoney",0,5,0,5,5,5
"95WW10","Cloughfern",10,0,5,5,15,5
"95WW11","Collinbridge",0,0,0,5,5,0
"95WW12","Coole",5,5,5,10,10,15
"95WW13","Doagh",0,0,5,0,5,0
"95WW14","Dunanney",5,0,10,10,15,10
"95WW15","Glebe (Newtownabbey LGD)",0,0,5,5,5,5
"95WW16","Glengormley",5,5,10,10,15,15
"95WW17","Hawthorne",0,0,10,0,10,5
"95WW18","Hightown",0,0,0,0,5,0
"95WW19","Jordanstown",0,0,15,10,10,15
"95WW20","Mallusk",10,5,5,10,15,10
"95WW21","Monkstown",10,0,15,10,25,15
"95WW22","Mossley",0,0,5,0,10,0
"95WW23","Rostulla",0,0,5,5,5,5
"95WW24","Valley (Newtownabbey LGD)",10,5,10,15,25,15
"95WW25","Whitehouse",5,0,5,0,10,0
"95XX01","Ballycrochan",5,5,5,5,10,5
"95XX02","Ballyholme",0,0,0,0,0,0
"95XX03","Ballymaconnell",0,0,5,5,5,5
"95XX04","Ballymagee",0,0,5,5,5,5
"95XX05","Bangor Castle",0,5,5,0,5,5
"95XX06","Bloomfield (North Down LGD)",0,5,10,15,10,20
"95XX07","Broadway",5,0,10,5,10,5
"95XX08","Bryansburn",0,0,0,0,0,0
"95XX09","Churchill",0,5,5,5,5,10
"95XX10","Clandeboye",5,5,15,0,20,10
"95XX11","Conlig",5,5,5,10,10,20
"95XX12","Craigavad",0,0,5,0,0,5
"95XX13","Crawfordsburn",0,0,5,0,5,0
"95XX14","Cultra",0,0,0,0,0,0
"95XX15","Dufferin",5,5,10,5,15,10
"95XX16","Groomsport",0,0,0,0,0,0
"95XX17","Harbour (North Down LGD)",10,5,10,20,20,25
"95XX18","Holywood Demesne",0,0,0,5,10,0
"95XX19","Holywood Priory",0,0,0,0,5,0
"95XX20","Loughview",5,5,5,5,10,5
"95XX21","Princetown",0,0,0,0,0,0
"95XX22","Rathgael",5,0,5,5,10,5
"95XX23","Silverstream",5,5,5,5,10,5
"95XX24","Spring Hill",0,0,5,0,5,5
"95XX25","Whitehill",5,0,10,5,15,5
"95YY01","Beragh",5,0,0,5,10,0
"95YY02","Camowen",5,0,5,0,10,5
"95YY03","Clanabogan",5,0,0,5,10,0
"95YY04","Coolnagard",5,0,5,0,15,5
"95YY05","Dergmoney",0,0,5,5,10,5
"95YY06","Dromore",5,0,5,5,5,10
"95YY07","Drumnakilly",5,5,5,5,10,5
"95YY08","Drumquin",0,0,5,5,5,5
"95YY09","Drumragh",0,5,5,0,5,5
"95YY10","Fairy Water",0,0,0,0,0,5
"95YY11","Fintona",5,0,5,5,15,5
